rel_path,src,dst,text_nodes,attr_texts,meta_texts
novosti/dano_top_5_v_vedre_novogo_obema.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/dano_top_5_v_vedre_novogo_obema.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/dano_top_5_v_vedre_novogo_obema.html,95,3,2
novosti/novaya_fasovka_gi.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/novaya_fasovka_gi.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/novaya_fasovka_gi.html,131,3,2
novosti/pochuvstvuj_energiyu_leta.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/pochuvstvuj_energiyu_leta.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/pochuvstvuj_energiyu_leta.html,94,3,2
novosti/danobox.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/danobox.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/danobox.html,124,3,3
novosti/danogips_na_«sibirskoj_stroitelnoj_nedele».html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/danogips_na_«sibirskoj_stroitelnoj_nedele».html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/danogips_na_«sibirskoj_stroitelnoj_nedele».html,131,3,0
novosti/danogips_kleifix.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/danogips_kleifix.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/danogips_kleifix.html,131,3,3
novosti/myi_usilili_meryi_zashhityi_ot_covid_19_na_nashix_zavodax.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/myi_usilili_meryi_zashhityi_ot_covid_19_na_nashix_zavodax.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/myi_usilili_meryi_zashhityi_ot_covid_19_na_nashix_zavodax.html,129,3,2
novosti/leto_vnutri_2024.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/leto_vnutri_2024.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/leto_vnutri_2024.html,123,3,0
novosti/myi_darim_podarki.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/myi_darim_podarki.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/myi_darim_podarki.html,154,3,2
novosti/novyij_god.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/novyij_god.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/novyij_god.html,122,3,2
novosti/pravila_konkursa_v_ritme_remonta.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/pravila_konkursa_v_ritme_remonta.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/pravila_konkursa_v_ritme_remonta.html,363,3,2
"novosti/nam_est,_chem_gorditsya.html","/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/nam_est,_chem_gorditsya.html","/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/nam_est,_chem_gorditsya.html",100,3,2
novosti/uluchshenie_reczepturyi_danogips_fill_i_finish_light.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/uluchshenie_reczepturyi_danogips_fill_i_finish_light.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/uluchshenie_reczepturyi_danogips_fill_i_finish_light.html,98,3,2
novosti/28_fevralya_2022g_vedushhie_texnicheskie_speczialistyi_kompanij_danogips_i_mirka_proveli_sovmestnyij_master_klass_dlya_studentov_spb_gbpou_kolledzh_metrostroya.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/28_fevralya_2022g_vedushhie_texnicheskie_speczialistyi_kompanij_danogips_i_mirka_proveli_sovmestnyij_master_klass_dlya_studentov_spb_gbpou_kolledzh_metrostroya.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/28_fevralya_2022g_vedushhie_texnicheskie_speczialistyi_kompanij_danogips_i_mirka_proveli_sovmestnyij_master_klass_dlya_studentov_spb_gbpou_kolledzh_metrostroya.html,123,3,0
novosti/v_etom_godu.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/v_etom_godu.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/v_etom_godu.html,129,3,1
novosti/idem_na_vostok.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/idem_na_vostok.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/idem_na_vostok.html,96,3,2
novosti/danogips_priglashaet_na_vyistavku_«gorod»_vo_vladivostoke.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/danogips_priglashaet_na_vyistavku_«gorod»_vo_vladivostoke.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/danogips_priglashaet_na_vyistavku_«gorod»_vo_vladivostoke.html,94,3,2
novosti/otmena_meropriyatiya.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/otmena_meropriyatiya.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/otmena_meropriyatiya.html,124,3,2
novosti/obuchenie_po_dekorativnoj_shtukaturke.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/obuchenie_po_dekorativnoj_shtukaturke.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/obuchenie_po_dekorativnoj_shtukaturke.html,122,3,0
jet/index.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/jet/index.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/jet/index.html,321,13,1
karera/laborant_(sankt_peterburg).html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/karera/laborant_(sankt_peterburg).html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/karera/laborant_(sankt_peterburg).html,128,3,0
karera/energetik_v_podrazdelenie_g._chebarkul.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/karera/energetik_v_podrazdelenie_g._chebarkul.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/karera/energetik_v_podrazdelenie_g._chebarkul.html,116,3,0
karera/menedzher_po_prodazham_(g._ivanovo/g._yaroslavl).html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/karera/menedzher_po_prodazham_(g._ivanovo/g._yaroslavl).html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/karera/menedzher_po_prodazham_(g._ivanovo/g._yaroslavl).html,125,3,0
ffl/index.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/ffl/index.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/ffl/index.html,141,7,1
gde_kupit/tsentralniy_region.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/gde_kupit/tsentralniy_region.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/gde_kupit/tsentralniy_region.html,4088,3,1
gde_kupit/severo_zapadniy_region/sankt_peterburg.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/gde_kupit/severo_zapadniy_region/sankt_peterburg.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/gde_kupit/severo_zapadniy_region/sankt_peterburg.html,1249,3,1
gde_kupit/severo_zapadniy_region/spb.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/gde_kupit/severo_zapadniy_region/spb.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/gde_kupit/severo_zapadniy_region/spb.html,1247,3,1
gde_kupit/tsentralniy_region/moskovskaya_oblast.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/gde_kupit/tsentralniy_region/moskovskaya_oblast.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/gde_kupit/tsentralniy_region/moskovskaya_oblast.html,1512,3,1
gde_kupit/tsentralniy_region/moskovskaya_oblast/moskva.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/gde_kupit/tsentralniy_region/moskovskaya_oblast/moskva.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/gde_kupit/tsentralniy_region/moskovskaya_oblast/moskva.html,795,3,1
sf/index.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/sf/index.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/sf/index.html,219,13,1
katalog/seriya_shpatlevok_smart.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/seriya_shpatlevok_smart.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/seriya_shpatlevok_smart.html,141,5,0
katalog/gipsovyie_plityi.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/gipsovyie_plityi.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/gipsovyie_plityi.html,144,5,2
katalog/gruntyi.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/gruntyi.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/gruntyi.html,153,8,2
katalog/shpatlevka_polimernaya.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/shpatlevka_polimernaya.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/shpatlevka_polimernaya.html,169,9,2
katalog/gidroizolyacziya.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/gidroizolyacziya.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/gidroizolyacziya.html,151,9,1
katalog/instrumenti.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/instrumenti.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/instrumenti.html,157,7,2
katalog/aksessuari.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/aksessuari.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/aksessuari.html,157,12,2
katalog/dekorativnyie_sostavyi_danogips_deco.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/dekorativnyie_sostavyi_danogips_deco.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/dekorativnyie_sostavyi_danogips_deco.html,144,6,0
katalog/shpatlevka_finishing.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/shpatlevka_finishing.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/shpatlevka_finishing.html,156,5,2
katalog/gotovye_shpatlevki_danogips.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/gotovye_shpatlevki_danogips.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/gotovye_shpatlevki_danogips.html,162,7,2
katalog/shpatlevka_polimernaya/danojet5.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/shpatlevka_polimernaya/danojet5.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/shpatlevka_polimernaya/danojet5.html,221,11,3
katalog/shpatlevka_polimernaya/danojet9.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/shpatlevka_polimernaya/danojet9.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/shpatlevka_polimernaya/danojet9.html,303,14,3
katalog/shpatlevka_polimernaya/shpatlevka_polimernaya_danogips_jet_3.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/shpatlevka_polimernaya/shpatlevka_polimernaya_danogips_jet_3.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/shpatlevka_polimernaya/shpatlevka_polimernaya_danogips_jet_3.html,211,16,3
katalog/shpatlevka_polimernaya/shpatlevka_polimernaya_danogips_jet_10.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/shpatlevka_polimernaya/shpatlevka_polimernaya_danogips_jet_10.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/shpatlevka_polimernaya/shpatlevka_polimernaya_danogips_jet_10.html,215,16,2
katalog/gotovye_shpatlevki_danogips/ultrafinish.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/gotovye_shpatlevki_danogips/ultrafinish.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/gotovye_shpatlevki_danogips/ultrafinish.html,230,10,2
katalog/gotovye_shpatlevki_danogips/prospray.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/gotovye_shpatlevki_danogips/prospray.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/gotovye_shpatlevki_danogips/prospray.html,264,10,2
katalog/gotovye_shpatlevki_danogips/super_finish.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/gotovye_shpatlevki_danogips/super_finish.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/gotovye_shpatlevki_danogips/super_finish.html,343,14,2
katalog/gotovye_shpatlevki_danogips/fill_finish_light.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/gotovye_shpatlevki_danogips/fill_finish_light.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/gotovye_shpatlevki_danogips/fill_finish_light.html,343,9,2
katalog/dekorativnyie_sostavyi_danogips_deco/dekorativnaya_shtukaturka_danogips_travertin_deco.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/dekorativnyie_sostavyi_danogips_deco/dekorativnaya_shtukaturka_danogips_travertin_deco.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/dekorativnyie_sostavyi_danogips_deco/dekorativnaya_shtukaturka_danogips_travertin_deco.html,242,10,1
katalog/dekorativnyie_sostavyi_danogips_deco/zashhitno_dekorativnyij_lessiruyushhij_sostav_danogips_topcoat_deco.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/dekorativnyie_sostavyi_danogips_deco/zashhitno_dekorativnyij_lessiruyushhij_sostav_danogips_topcoat_deco.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/dekorativnyie_sostavyi_danogips_deco/zashhitno_dekorativnyij_lessiruyushhij_sostav_danogips_topcoat_deco.html,199,8,1
katalog/dekorativnyie_sostavyi_danogips_deco/kvarcz_grunt_danogips_grunt_deco.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/dekorativnyie_sostavyi_danogips_deco/kvarcz_grunt_danogips_grunt_deco.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/dekorativnyie_sostavyi_danogips_deco/kvarcz_grunt_danogips_grunt_deco.html,215,10,1
katalog/gruntyi/danogipsgruntconcentrat.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/gruntyi/danogipsgruntconcentrat.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/gruntyi/danogipsgruntconcentrat.html,220,10,3
katalog/gruntyi/danogips_firstcoat.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/gruntyi/danogips_firstcoat.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/gruntyi/danogips_firstcoat.html,238,12,3
katalog/gruntyi/klej_dlya_stekloxolsta_danogips_kleifix.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/gruntyi/klej_dlya_stekloxolsta_danogips_kleifix.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/gruntyi/klej_dlya_stekloxolsta_danogips_kleifix.html,215,11,3
katalog/gruntyi/danogrunt.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/gruntyi/danogrunt.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/gruntyi/danogrunt.html,198,12,3
katalog/gruntyi/danogruntuni.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/gruntyi/danogruntuni.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/gruntyi/danogruntuni.html,197,10,3
katalog/gidroizolyacziya/kopiya_ugol_vneshnij_danogips_gidroflex.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/gidroizolyacziya/kopiya_ugol_vneshnij_danogips_gidroflex.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/gidroizolyacziya/kopiya_ugol_vneshnij_danogips_gidroflex.html,171,8,2
katalog/gidroizolyacziya/kopiya_ugol_vnutrennij_danogips_gidroflex.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/gidroizolyacziya/kopiya_ugol_vnutrennij_danogips_gidroflex.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/gidroizolyacziya/kopiya_ugol_vnutrennij_danogips_gidroflex.html,172,9,2
katalog/gidroizolyacziya/gidroizolyaczionnaya_lenta_danogips_gidroflex.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/gidroizolyacziya/gidroizolyaczionnaya_lenta_danogips_gidroflex.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/gidroizolyacziya/gidroizolyaczionnaya_lenta_danogips_gidroflex.html,202,10,2
katalog/gidroizolyacziya/kopiya_manzheta_nastennaya_danogips_gidroflex.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/gidroizolyacziya/kopiya_manzheta_nastennaya_danogips_gidroflex.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/gidroizolyacziya/kopiya_manzheta_nastennaya_danogips_gidroflex.html,171,8,2
katalog/gidroizolyacziya/danogips_gidroflex.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/gidroizolyacziya/danogips_gidroflex.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/gidroizolyacziya/danogips_gidroflex.html,222,9,2
katalog/gidroizolyacziya/kopiya_manzheta_napolnaya_danogips_gidroflex.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog/gidroizolyacziya/kopiya_manzheta_napolnaya_danogips_gidroflex.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog/gidroizolyacziya/kopiya_manzheta_napolnaya_danogips_gidroflex.html,171,8,2
